Date,Open,High,Low,Close,Adj Close,Volume
2013-05-02,29750.000000,29850.000000,29300.000000,29450.000000,26195.039063,2792031
2013-05-03,29650.000000,29700.000000,29000.000000,29550.000000,26283.984375,3767197
2013-05-06,29700.000000,29850.000000,28850.000000,28900.000000,25705.828125,4225049
2013-05-07,28900.000000,28950.000000,28400.000000,28600.000000,25438.980469,3154316
2013-05-08,28900.000000,28900.000000,28400.000000,28550.000000,25394.509766,3400637
2013-05-09,28500.000000,29250.000000,28500.000000,29050.000000,25839.248047,4575248
2013-05-10,29200.000000,29550.000000,29050.000000,29100.000000,25883.722656,4776435
2013-05-13,29000.000000,29200.000000,28900.000000,29100.000000,25883.722656,2518819
2013-05-14,29150.000000,29600.000000,29150.000000,29500.000000,26239.511719,2701509
2013-05-15,29550.000000,29850.000000,29500.000000,29750.000000,26461.878906,4030862
2013-05-16,29900.000000,30200.000000,29850.000000,30050.000000,26728.722656,6423610
2013-05-20,30500.000000,30850.000000,30300.000000,30700.000000,27306.882813,6958530
2013-05-21,30800.000000,31000.000000,30600.000000,30600.000000,27217.933594,5033266
2013-05-22,30900.000000,31600.000000,30850.000000,31300.000000,27840.566406,7608286
2013-05-23,31400.000000,32000.000000,31250.000000,31400.000000,27929.513672,7512672
2013-05-24,31800.000000,31850.000000,31050.000000,31400.000000,27929.513672,3871042
2013-05-27,31550.000000,31900.000000,31400.000000,31400.000000,27929.513672,2849669
2013-05-28,31400.000000,31650.000000,30850.000000,31400.000000,27929.513672,4431590
2013-05-29,31700.000000,32150.000000,31550.000000,32000.000000,28463.197266,4381622
2013-05-30,31850.000000,32200.000000,31700.000000,31850.000000,28329.779297,10882238
2013-05-31,32200.000000,32200.000000,31750.000000,32200.000000,28641.091797,3870613
2013-06-03,31950.000000,32150.000000,31750.000000,31900.000000,28374.251953,3449693
2013-06-04,32150.000000,32450.000000,32000.000000,32250.000000,28685.566406,3233657
2013-06-05,32350.000000,32400.000000,31150.000000,31150.000000,27707.142578,4570226
2013-06-07,31650.000000,31900.000000,30900.000000,31100.000000,27662.671875,5758634
2013-06-10,31700.000000,32900.000000,31600.000000,32650.000000,29041.357422,6709195
2013-06-11,32900.000000,32950.000000,32300.000000,32500.000000,28907.939453,3941737
2013-06-12,32300.000000,32700.000000,32250.000000,32350.000000,28774.515625,2590486
2013-06-13,32250.000000,32450.000000,31600.000000,32050.000000,28507.675781,6075091
2013-06-14,32150.000000,32250.000000,31200.000000,31500.000000,28018.458984,3971095
2013-06-17,31400.000000,31600.000000,30100.000000,30450.000000,27084.513672,6582178
2013-06-18,30900.000000,31750.000000,30900.000000,31750.000000,28240.830078,5215736
2013-06-19,32000.000000,32400.000000,31550.000000,31900.000000,28374.251953,4438175
2013-06-20,31400.000000,31700.000000,30850.000000,31050.000000,27618.195313,4371986
2013-06-21,30200.000000,31000.000000,30000.000000,30800.000000,27395.828125,5163521
2013-06-24,30900.000000,30950.000000,29750.000000,29750.000000,26461.878906,4897019
2013-06-25,29500.000000,30300.000000,28900.000000,29500.000000,26239.511719,6659713
2013-06-26,30150.000000,30400.000000,29700.000000,30250.000000,26906.619141,5040418
2013-06-27,30900.000000,31000.000000,30600.000000,30650.000000,27262.408203,5209137
2013-06-28,30900.000000,31200.000000,30450.000000,31200.000000,27751.617188,4309458
2013-07-01,30950.000000,31850.000000,30850.000000,31550.000000,28062.935547,4062599
2013-07-02,31500.000000,31550.000000,28750.000000,28800.000000,25616.876953,21019436
2013-07-03,29350.000000,29800.000000,28550.000000,28750.000000,25572.404297,10969350
2013-07-04,28950.000000,29050.000000,28000.000000,28750.000000,25572.404297,9130872
